"setting","method","coverage","avg_width","median_width"
"1a","Difference-in-Means",0.945,2.01257146971217,2.01034048736306
"1a","Difference-in-Medians",0.933,3.34701839197428,3.33913979309644
"1a","0.1-trimmed-Difference-in-Means",0.944,2.33719202089338,2.33788619897271
"1a","0.1-Winsorized-Difference-in-Means",0.944,2.09770237357839,2.09446423643539
"1a","eif (Athey et al., 2023)",0.994934143870314,1.86169794850674,1.86411151724492
"1a","waq (Athey et al., 2023)",0.987,1.86169794850674,1.86411151724492
"1a","Rosenbaum unadj",0.947,2.11078460706024,2.10611862458487
"1a","OLS adjusted",0.987,0.3781904058487,0.377763511492854
"1a","Lin estimator",0.988,0.37852268865712,0.378299708748916
"1a","Rosenbaum adj",0.983,0.383598582754657,0.383815347095485
"1b","Difference-in-Means",0.942,41.3211197943209,10.9252903463458
"1b","Difference-in-Medians",0.944,3.54402526387801,3.5179979143128
"1b","0.1-trimmed-Difference-in-Means",0.95,2.53041290337944,2.52747432391775
"1b","0.1-Winsorized-Difference-in-Means",0.952,2.31504299730342,2.31533700712532
"1b","eif (Athey et al., 2023)",0.956433637284701,2.0548143106135,2.05198190923019
"1b","waq (Athey et al., 2023)",0.877,2.0548143106135,2.05198190923019
"1b","Rosenbaum unadj",0.952,2.46148227763059,2.46208661924445
"1b","OLS adjusted",0.943,41.2403065709171,10.7257384420323
"1b","Lin estimator",0.941,41.6808517196611,10.7719310735821
"1b","Rosenbaum adj",0.966,1.51351923647797,0.753486888035978
"1c","Difference-in-Means",0.941,2.05289552270698,2.04650919082649
"1c","Difference-in-Medians",0.949,3.35911198429754,3.34058587928367
"1c","0.1-trimmed-Difference-in-Means",0.947,2.35299571328096,2.35086671816293
"1c","0.1-Winsorized-Difference-in-Means",0.944,2.1197211907638,2.11537706864631
"1c","eif (Athey et al., 2023)",0.982914572864322,1.83953199702321,1.84113610845269
"1c","waq (Athey et al., 2023)",0.978,1.83953199702321,1.84113610845269
"1c","Rosenbaum unadj",0.945,2.15605218214076,2.15180810388558
"1c","OLS adjusted",0.969,0.546589890383406,0.536528735952084
"1c","Lin estimator",0.97,0.547057436853944,0.537657473888584
"1c","Rosenbaum adj",0.986,0.453399128388083,0.452749435158271
"2a","Difference-in-Means",1,30.697831159418,30.3831895421859
"2a","Difference-in-Medians",0.936,3.51155153185045,3.50447170091514
